Category: All categories

Country,Tripadvisor: (22/08/2023 - 22/11/2023)
St Kitts & Nevis,
Aruba,
Cook Islands,
Caribbean Netherlands,
San Marino,
Malta,100
St Lucia,
Sint Maarten,
British Virgin Islands,
Turks & Caicos Islands,
Vanuatu,
Maldives,79
Iceland,75
Seychelles,
Cayman Islands,
Jersey,
Bermuda,
Cyprus,67
Curaçao,
Mauritius,57
Isle of Man,
United Kingdom,54
French Polynesia,
Fiji,
Italy,48
Greece,48
Ireland,44
Albania,42
Barbados,
Bahamas,
Guernsey,
St Martin,
Croatia,33
Andorra,
Grenada,
Belize,
Belgium,27
Jamaica,25
Slovenia,25
Norway,25
Samoa,
Guadeloupe,
Bhutan,
Faroe Islands,
US Virgin Islands,
United Arab Emirates,22
St Helena,
Estonia,22
Tanzania,22
Montenegro,
St Barthélemy,
Macao,
Cape Verde,
France,19
Sri Lanka,19
Tunisia,19
Liechtenstein,
Réunion,
Qatar,19
Lithuania,17
Canada,17
Madagascar,
Netherlands,16
Trinidad & Tobago,
Guam,
Portugal,16
Guyana,
Switzerland,14
Cambodia,14
Morocco,14
Latvia,
Singapore,13
Botswana,
New Zealand,13
Brunei,
Australia,13
Czechia,13
Armenia,
Antigua & Barbuda,
New Caledonia,
Finland,13
Sweden,11
Israel,11
Hungary,11
Western Sahara,
Ethiopia,
Georgia,11
Egypt,11
North Macedonia,
Slovakia,10
Luxembourg,
Romania,10
Hong Kong,10
Puerto Rico,
Rwanda,
United States,10
Oman,
Kenya,8
Papua New Guinea,
China,
Bulgaria,8
Spain,8
Jordan,8
Nepal,8
Bosnia & Herzegovina,
Martinique,
Türkiye,8
Zimbabwe,
Namibia,
Laos,
Serbia,7
Kosovo,
Cuba,
Moldova,
Poland,5
Thailand,5
Costa Rica,
Azerbaijan,
South Africa,5
Malawi,
Malaysia,5
Myanmar (Burma),
Bahrain,
Kuwait,
Senegal,
Austria,4
Dominican Republic,
Lebanon,
Denmark,4
Mongolia,
Uganda,
India,4
Philippines,4
Bangladesh,4
Algeria,4
South Korea,2
Panama,
Russia,2
Vietnam,2
Cameroon,
Côte d’Ivoire,
Indonesia,2
Haiti,
Zambia,
Saudi Arabia,2
Argentina,2
Ghana,
Taiwan,2
Belarus,
Palestine,
Mexico,1
Benin,
Germany,1
Peru,1
Congo - Kinshasa,
Ukraine,1
Libya,
Brazil,1
Nigeria,
El Salvador,
Japan,1
Uruguay,
Uzbekistan,
Ecuador,
Iraq,
Guatemala,
Nicaragua,
Iran,1
Chile,
Angola,
Bolivia,
Syria,
Colombia,
Kyrgyzstan,
Pakistan,
Kazakhstan,
Honduras,
Paraguay,
Venezuela,
South Georgia & South Sandwich Islands,
Montserrat,
Anguilla,
Solomon Islands,
St Vincent & the Grenadines,
French Guiana,
Liberia,
Chad,
Timor-Leste,
South Sudan,
Sierra Leone,
Mauritania,
Gabon,
Guinea,
Togo,
Somalia,
Sudan,
Afghanistan,
Mali,
Åland Islands,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Burkina Faso,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Comoros,
Christmas Island,
Djibouti,
Dominica,
Eritrea,
Falkland Islands (Islas Malvinas),
Micronesia,
Gibraltar,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greenland,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
Lesotho,
Monaco,
Marshall Islands,
Northern Mariana Islands,
Mozambique,
Mayotte,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
Svalbard & Jan Mayen,
St Pierre & Miquelon,
São Tomé & Príncipe,
Suriname,
Eswatini,
Tajikistan,
Tokelau,
Turkmenistan,
Tonga,
Tuvalu,
US Outlying Islands,
Vatican City,
Wallis & Futuna,
Yemen,
